Company Name,UID,Entity Name,Alias,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day,
Alphabet Inc,EQT-2E77A2,Qwiklabs Inc,Qwiklabs Inc,21-Nov-16,,,https://www.linkedin.com/company/qwiklabs-inc-/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=410630077,FALSE,2016,11,21,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Makani Power,Makani Power,23-May-13,23-May-13,,https://www.linkedin.com/company/makani-power/,https://en.wikipedia.org/wiki/Makani_Power,,FALSE,2013,5,23,FALSE,2013,5,23,
Alphabet Inc,EQT-2E77A2,Crystal Computing SPRL,"Crystal Computing SPRL, Crystal Computing S.P.R.L",,,,https://www.linkedin.com/company/crystal-computing/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=114598949,TRUE,-,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Agawi Inc,"Agawi Inc, iSwifter Inc",18-Jun-15,,,https://www.linkedin.com/company/agawi/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=130809328,FALSE,2015,6,18,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google Energy LLC,"Google Energy LLC, Google Green, Google Environment",16-Dec-09,,,,https://en.wikipedia.org/wiki/Google_Environment,,FALSE,2009,12,16,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Cwist Inc,Cwist Inc,27-Nov-18,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=216287302,FALSE,2018,11,27,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google Stackdriver,"Google Stackdriver, Stackdriver",May-2014,,,,https://en.wikipedia.org/wiki/Stackdriver,https://www.crunchbase.com/organization/stackdriver,TRUE,2014,5,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Owlchemy Labs LLC,"Owlchemy Labs LLC, Owlchemy Labs",May-2017,,,https://www.linkedin.com/company/owlchemy-labs-llc/about/,https://en.wikipedia.org/wiki/Owlchemy_Labs,https://www.crunchbase.com/organization/owlchemy-labs,TRUE,2017,5,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Waze Mobile Limited,Waze Mobile Limited,2015,,,,https://en.wikipedia.org/wiki/Waze,https://www.crunchbase.com/organization/waze#section-overview,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Pulse.io Inc,Pulse.io Inc,2015,,,https://www.linkedin.com/company/pulse-io/about/,,https://www.crunchbase.com/organization/pulse-io#section-overview,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Zync Render,Zync Render,2015,,,https://www.linkedin.com/company/zyncrender/about/,,https://www.crunchbase.com/organization/zync-render,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Halli Labs Private Limited,"Halli Labs Private Limited, Halli Labs Pvt Ltd",12-Jul-17,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=530218483,FALSE,2017,7,12,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,ITA Software Inc,ITA Software Inc,2015,,,,https://en.wikipedia.org/wiki/ITA_Software,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4664922,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Pixate Inc,Pixate Inc,2015,,,,,,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google International LLC,Google International LLC,2014,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=318688015,TRUE,2014,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,DevOps Research and Assessment LLC,"DevOps Research and Assessment LLC, DevOps Research and Assessment",20-Dec-18,,,https://www.linkedin.com/company/devops-research-and-assessment-llc/,,https://www.crunchbase.com/organization/devops-research-and-assessment#section-overview,FALSE,2018,12,20,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Neotonic Software Corporation,"Neotonic Software Corporation, Neotonic Software",04-Jun-03,04-Jun-03,,,https://en.wikipedia.org/wiki/Neotonic_Software,https://www.crunchbase.com/organization/neotonic-software,FALSE,2003,6,4,FALSE,2003,6,4,
Alphabet Inc,EQT-2E77A2,Google Hong Kong Limited,"Google Hong Kong Limited, Google (Hong Kong) Ltd",1998,,,https://www.linkedin.com/company/googlehk/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=36334708,TRUE,1998,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Jibe Mobile Inc,Jibe Mobile Inc,30-Sep-15,,,https://www.linkedin.com/company/jibe-mobile/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=224849247,FALSE,2015,9,30,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Channel Intelligence Inc,Channel Intelligence Inc,2015,,,https://www.linkedin.com/company/channel-intelligence/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=554335,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Terraform Labs Incorporated,"Terraform Labs Incorporated, Terraform Labs Inc, Terraform Labs",02-Oct-18,,,https://www.linkedin.com/company/terraform-labs/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=407514815,FALSE,2018,10,2,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google Italy SRL,"Google Italy SRL, Google Italy S.R.L",2015,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=36335000,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google Ireland Holdings,Google Ireland Holdings,2015,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=224260963,TRUE,2015,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,A9.com Inc,A9.com Inc,2003,,,https://www.linkedin.com/company/a9-com/,https://en.wikipedia.org/wiki/A9.com,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=9709412,TRUE,2003,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,AbeBooks Inc,AbeBooks Inc,01-Aug-08,,,https://www.linkedin.com/company/abebooks/,https://en.wikipedia.org/wiki/AbeBooks,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1235649,FALSE,2008,8,1,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Alexa Internet Inc,Alexa Internet Inc,10-Jun-99,,,https://www.linkedin.com/company/alexa-internet/,https://en.wikipedia.org/wiki/Alexa_Internet,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=1021904,FALSE,1999,6,10,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Books,Amazon Books,02-Nov-15,,,,https://en.wikipedia.org/wiki/Amazon_Books,,FALSE,2015,11,2,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon China,"Amazon China, Joyo.com, Amazon.cn",2004,,,,https://en.wikipedia.org/wiki/Amazon_China,,TRUE,2004,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Corporate LLC,Amazon Corporate LLC,1999,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=102228442,TRUE,1999,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Go,Amazon Go,05-Dec-16,,,,https://en.wikipedia.org/wiki/Amazon_Go,,FALSE,2016,12,5,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Lab126 Inc,"Amazon Lab126 Inc, Lab126",2004,,,https://www.linkedin.com/company/lab126/,https://en.wikipedia.org/wiki/Amazon_Lab126,https://www.crunchbase.com/organization/amazon-lab126#section-overview,TRUE,2004,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Payments Inc,"Amazon Payments Inc, MNESVC Inc",2005,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=25074688,TRUE,2005,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Publishing,"Amazon Publishing, Apub",2009,,,,https://en.wikipedia.org/wiki/Amazon_Publishing,,TRUE,2009,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Robotics,Amazon Robotics,2003,,,https://www.linkedin.com/company/kiva-systems/,https://en.wikipedia.org/wiki/Amazon_Robotics,https://www.crunchbase.com/organization/amazon-robotics,TRUE,2003,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Studios,Amazon Studios,16-Nov-10,,,https://www.linkedin.com/company/amazonstudios/,https://en.wikipedia.org/wiki/Amazon_Studios,,FALSE,2010,11,16,TRUE,-,-,-,
